,TOME_1_VEFGTGNODE,SPILLS_6_ELVADOHYDROGNODE,PERSON_1_RIOBRAVOGNODE,REEVES_1_REEVES3GNODE,ARRIBA_1_SANMIGUEL2PVGNODE,ARROYO_1_ARROYOSOLARGNODE,ELBUTTE_1_ELBUTTEHYDROGNODE,TAIBANM_3_LONEMESAWFGNODE,JARALES_1_RIOCOMMPVGNODE,HONDALE_1_DEMINGPVGNODE,S_COORS_1_SOUTHVALLEPVGNODE,SANJUAN_3_SANJUAN1GNODE,LUNA_3_LEFGNODE,FC_3_PNM_FCST4GNODE,LIGHTDOC_1_LIGHTNINGDGEOGNODE,LOSTHORZ_1_FACEBOOK3PVGNODE,LORDBURG_1_GEN1GTGNODE,ALAMOGCP_1_ALAMOPVGNODE,ARRIBAT_1_LASVEGASPVGNODE,TA3_7_CGTGGNODE,LOSMORRO_1_LOSLUNASPVGNODE,ALAMOGCP_1_OTEROPVGNODE,COYTEJCT_6_ABIQUIUHYDROGNODE,AFTON_3_AFTONCTGNODE,PYGS_1_PYRAMID A3GNODE,BRITTON_1_BRITTONPVGNODE,CLINESCO_3_ELCABOWF2GNODE,REEVES_1_REEVES2GNODE,PYGS_1_PYRAMID A2GNODE,LOSTHORZ_1_SANTOLINAPVGNODE,BELEN_1_LALUZGNODE,LAJOYA_3_LJOYA2GNODE,FC_5_PNM_FCST5GNODE,COLLEGE_1_VISTAPVGNODE,WILLARD_1_HIGHLONEWFGNODE,LONEMESA_7_CASAMESAWFGNODE,STATEPEN_1_SANTAFEPVGNODE,GUADALUP_3_ARAGONNEWFGNODE,HURLEY_LNODERLEY,LONEMESA_7_CASAMEBATTGNODE,AFTON_3_AFTONSTGNODE,LOSTHORZ_1_FACEBOOK2PVGNODE,TOME_1_RIODELOROPVGNODE,LORDBURG_1_GEN2GTGNODE,PYGS_1_PYRAMID A4GNODE,SANJUAN_3_SANJUAN4GNODE,PYGS_1_PYRAMID A1GNODE,REEVES_1_REEVESPVGNODE,MARQUEZ_1_CIBOLAPVGNODE,CIBOLA_1_ROUTE66GNODE,REEVES_1_REEVES1GNODE,ELCERRO_1_MEADOWLAKEPVGNODE,LAJOYA_3_LJOYA1GNODE,COLLEGE_1_MANZANOPVGNODE,PDTYRONE_LNODERONE,ARRIBA_1_SANMIGUEL1PVGNODE,SPRV_3_COAL_SPV3GNODE,CLINESCO_3_ELCABOWF1GNODE,MD1_LNODEMINE,REDMESA_1_REDMESAWFGNODE,CMFS_1_SOLA_CIMGNODE,RIOPUERC_3_ENCINOPVGNODE,PROGRESS_1_SANDOVALPVGNODE,ARROYO_1_ARROYOBATTERYGNODE,SCENIC_1_RIORANCHOPVGNODE,ALLN_1_ALLN SOLARGNODE,LOSMORRO_1_FACEBOOK1PVGNODE,IVANHOE_LNODENHOE,STUDIO_1_PROSPERITYGNODE
2022-09-01T07:00:00-00:00,1.067,17.34101,-3.18243,-0.68659,-1.5773,-8.77721,2.27317,0.0,1.20617,0.35257,-0.78865,-3.62779,0.31546,-3.47006,0.53814,-0.64948,-0.11134,2.37523,-1.59586,-1.067,1.68864,2.37523,4.96385,-0.09278,0.81648,1.39173,-4.40716,-0.47319,0.81648,-0.64948,1.24328,-3.74841,-3.18243,0.79793,0.95566,0.0,-1.40101,-3.89686,4.1752,0.0,0.2969,-0.64948,1.067,-0.11134,0.81648,-3.62779,0.81648,-0.68659,-1.42885,-0.38041,-0.47319,0.44536,-3.74841,0.79793,4.24943,-1.5773,-2.22678,-4.41644,5.8824,-1.45668,-5.27004,-2.0041,-1.37318,-8.77721,-1.1505,1.16906,1.68864,5.40921,-0.77937
2022-09-01T07:15:00-00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01T07:30:00-00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01T07:45:00-00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01T08:00:00-00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01T08:15:00-00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01T08:30:00-00:00,0.30822,12.5505,-1.82045,-2.85107,-2.92813,-5.21091,0.97283,-8.97702,0.46234,-1.27142,-2.54285,-5.35539,-1.4159,-5.22054,-0.87651,-2.87034,-1.46406,0.59718,-2.94739,-3.16893,0.70314,0.59718,0.9632,-2.01309,-0.53939,0.28896,-6.83872,-2.6777,-0.53939,-2.87034,0.50086,-6.19338,-4.88342,-0.0289,0.58755,-8.97702,-3.93949,-6.9832,2.87997,-8.97702,-1.61818,-2.87034,0.30822,-1.46406,-0.53939,-5.35539,-0.53939,-2.85107,-3.57347,-2.87034,-2.6777,-0.47197,-6.19338,-0.0289,3.00518,-2.92813,-3.29414,-6.84835,4.73894,-3.60237,-6.42454,-4.28624,-3.72758,-5.21091,-3.35194,-0.34675,0.70314,4.19955,-1.97456
2022-09-01T08:45:00-00:00,0.7471,10.62722,-1.11645,-2.01464,-2.661,-4.1384,1.40185,-7.42059,0.87301,-0.35256,-1.76281,-4.27271,-0.45329,-4.15519,0.13431,-2.05661,0.48687,1.30112,-2.6694,-2.33362,0.99893,1.30112,1.0325,-0.98214,0.48687,0.61279,-5.52347,-1.87194,0.48687,-2.05661,0.8898,-4.96105,-3.853,0.45329,0.92338,-7.42059,-3.03035,-5.65778,3.41649,-7.42059,-0.63797,-2.05661,0.7471,0.48687,0.48687,-4.27271,0.48687,-2.01464,-2.77013,-2.04822,-1.87194,0.05876,-4.96105,0.45329,3.56759,-2.661,-2.35041,-5.53186,4.94426,-2.83728,-5.85924,-3.28218,-2.78692,-4.1384,-2.45954,0.36935,0.99893,4.60009,-1.25076
2022-09-01T09:00:00-00:00,0.18387,11.88146,-1.27833,-2.20643,-2.81933,-4.59673,1.47971,-7.8626,0.29769,-0.02627,-1.95252,-4.73682,-0.17511,-4.61424,0.39401,-2.24145,0.73548,1.82118,-2.83684,-2.48661,0.5341,1.82118,1.0857,-0.70045,0.75299,0.41152,-5.95386,-2.06634,0.75299,-2.24145,0.32396,-5.34972,-4.29028,-0.02627,0.54285,-7.8626,-3.16956,-6.06769,3.87001,-7.8626,-0.33272,-2.24145,0.18387,0.73548,0.75299,-4.74558,0.75299,-2.20643,-3.01195,-2.30274,-2.06634,-0.32396,-5.34972,-0.02627,4.0101,-2.81933,-2.56542,-5.97138,5.48981,-3.09076,-6.26907,-3.56356,-3.05573,-4.59673,-2.67048,0.56912,0.5341,5.10456,-1.41842
2022-09-01T09:15:00-00:00,0.23251,11.5653,-1.17117,-2.07538,-2.65236,-4.43494,1.53285,-7.56093,0.34446,0.09473,-1.82565,-4.57273,-0.05167,-4.45217,0.49086,-2.10983,0.82671,1.92899,-2.66097,-2.34234,0.57697,1.92899,1.10228,-0.55114,0.84393,0.43919,-5.70945,-1.9376,0.84393,-2.10983,0.3703,-5.12387,-4.14215,0.03445,0.53392,-7.56093,-3.00543,-5.79557,3.90964,-7.56093,-0.18945,-2.10983,0.23251,0.82671,0.84393,-4.57273,0.84393,-2.07538,-2.8332,-2.17011,-1.9376,-0.25835,-5.12387,0.03445,4.04743,-2.65236,-2.45429,-5.72668,5.49416,-2.89348,-5.98502,-3.39295,-2.89348,-4.43494,-2.53179,0.6717,0.57697,5.12387,-1.30895
2022-09-01T09:30:00-00:00,0.50263,11.57763,-0.886,-1.78904,-2.42798,-4.10627,1.8146,-7.19875,0.61338,0.40892,-1.54198,-4.24258,0.2641,-4.12331,0.80933,-1.82311,1.1501,2.23204,-2.4365,-2.07017,0.85192,2.23204,1.32048,-0.23854,1.16713,0.6645,-5.40119,-1.65273,1.16713,-1.82311,0.63042,-4.81336,-3.80809,0.30669,0.74969,-7.19875,-2.73467,-5.47786,4.21702,-7.19875,0.12779,-1.82311,0.50263,1.1501,1.16713,-4.24258,1.16713,-1.78904,-2.49613,-1.88275,-1.65273,0.01704,-4.81336,0.30669,4.35333,-2.42798,-2.15536,-5.40971,5.79308,-2.54725,-5.7164,-3.09248,-2.60688,-4.10627,-2.24056,0.97119,0.85192,5.42675,-1.02231
2022-09-01T09:45:00-00:00,0.58329,11.0656,-0.727,-1.60616,-2.39233,-3.88014,1.80904,-7.02484,0.68473,0.55793,-1.37792,-4.0154,0.42267,-3.89705,0.91298,-1.66533,1.29338,2.32471,-2.40924,-1.91049,0.91298,2.32471,1.31874,-0.06763,1.31029,0.68473,-5.28342,-1.47936,1.31029,-1.66533,0.69318,-4.69168,-3.59273,0.39731,0.76927,-7.02484,-2.58676,-5.3426,4.33663,-7.02484,0.28742,-1.66533,0.58329,1.29338,1.31029,-4.0154,1.31029,-1.60616,-2.24017,-1.66533,-1.47936,0.1268,-4.69168,0.39731,4.47189,-2.39233,-1.93585,-5.30033,5.88362,-2.25708,-5.69764,-2.93336,-2.4346,-3.88014,-2.06265,1.06514,0.91298,5.52857,-0.86225
2022-09-01T10:00:00-00:00,0.91049,11.1641,-0.87645,-1.83799,-2.65488,-4.05039,1.97414,-7.51364,1.03813,0.38291,-1.55719,-4.18654,0.24677,-4.0589,0.61266,-1.80396,1.12322,2.08476,-2.66339,-2.01669,1.21682,2.08476,1.31042,-0.24677,1.14024,1.48911,-5.58205,-1.69334,1.14024,-1.80396,1.07216,-4.9864,-3.75257,0.68925,1.64228,-7.51364,-2.79953,-5.7182,4.06741,-7.51364,0.11062,-1.80396,0.91049,1.12322,1.14024,-4.18654,1.14024,-1.83799,-2.4932,-1.86352,-1.69334,0.42546,-4.9864,0.68925,4.22057,-2.65488,-2.05923,-5.59907,5.51398,-2.52724,-5.93093,-3.15692,-2.65488,-4.05039,-2.28047,1.02111,1.21682,5.24168,-1.0126
2022-09-01T10:15:00-00:00,0.95481,10.92633,-0.79706,-1.73526,-2.54892,-3.89396,1.97604,-7.21503,1.07935,0.41513,-1.46127,-4.0268,0.28229,-3.91056,0.59779,-1.70205,1.13747,2.06737,-2.55723,-1.93453,1.25371,2.06737,1.32843,-0.20757,1.15407,1.50279,-5.42996,-1.59412,1.15407,-1.70205,1.11256,-4.83216,-3.61167,0.73894,1.66054,-7.21503,-2.69007,-5.50468,4.0102,-7.21503,0.14945,-1.70205,0.95481,1.13747,1.15407,-4.0268,1.15407,-1.73526,-2.37457,-1.76017,-1.59412,0.47325,-4.83216,0.73894,4.15964,-2.54892,-1.95113,-5.43826,5.42165,-2.41608,-5.73715,-3.03048,-2.54062,-3.89396,-2.1753,1.03784,1.25371,5.15597,-0.9299
2022-09-01T10:30:00-00:00,0.98035,10.83327,-0.77439,-1.71355,-2.54561,-3.8802,1.96894,-7.07664,1.10392,0.39543,-1.43345,-4.01202,0.26362,-3.89668,0.57668,-1.67236,1.11216,2.04308,-2.55385,-1.90303,1.26869,2.04308,1.30988,-0.21419,1.12864,1.54055,-5.37956,-1.56526,1.12864,-1.67236,1.13688,-4.78641,-3.6001,0.75792,1.70531,-7.07664,-2.66095,-5.41251,3.95435,-7.07664,0.13181,-1.67236,0.98035,1.11216,1.12864,-4.01202,1.12864,-1.71355,-2.33966,-1.73827,-1.56526,0.50253,-4.78641,0.75792,4.11087,-2.54561,-1.9607,-5.39604,5.36309,-2.37261,-5.68438,-2.99048,-2.50442,-3.8802,-2.14194,1.02154,1.26869,5.09946,-0.9062
2022-09-01T10:45:00-00:00,1.36365,10.9092,-0.3815,-1.31495,-2.23217,-3.52276,2.1997,-6.56663,1.4854,0.60877,-1.04709,-3.64452,0.50325,-3.539,0.80358,-1.2906,1.32307,2.28898,-2.24028,-1.55846,1.63963,2.28898,1.55846,0.04058,1.3393,1.93995,-4.99193,-1.17696,1.3393,-1.2906,1.51787,-4.40751,-3.24679,1.14449,2.13476,-6.56663,-2.32957,-4.98382,4.14777,-6.56663,0.38961,-1.2906,1.36365,1.32307,1.3393,-3.64452,1.3393,-1.31495,-1.92372,-1.32307,-1.17696,0.89287,-4.40751,1.14449,4.29388,-2.23217,-1.69645,-5.00005,5.552,-1.94807,-5.3085,-2.62178,-2.12665,-3.52276,-1.75326,1.25813,1.63963,5.27603,-0.51949
2022-09-01T11:00:00-00:00,0.54299,16.7972,-1.1661,-2.12747,-2.40342,-4.36175,1.36194,-7.77104,0.66762,-0.11572,-1.85152,-4.50418,-0.21364,-4.37956,0.12462,-2.11857,0.67652,1.7358,-2.42122,-2.27879,0.93466,1.7358,3.72084,-0.70322,0.68542,0.72993,-6.03524,-1.95834,0.68542,-2.11857,0.68542,-5.39433,-4.068,0.31155,0.92576,-7.77104,-2.9019,-6.02634,3.75645,-7.77104,-0.32936,-2.11857,0.54299,0.67652,0.68542,-4.49528,0.68542,-2.12747,-2.74167,-2.08296,-1.95834,-0.0089,-5.39433,0.31155,3.91668,-2.40342,-2.45682,-6.04414,5.31422,-2.78618,-5.60797,-3.4627,-2.9197,-4.36175,-2.57254,0.47178,0.93466,4.99376,-1.30853
2022-09-01T11:15:00-00:00,0.69503,16.49363,-1.04255,-2.0049,-2.22766,-4.26821,1.35442,-7.69881,0.81978,-0.32078,-1.72867,-4.40187,-0.39207,-4.27712,-0.01782,-2.0049,0.53464,1.5861,-2.24549,-2.14747,1.09601,1.5861,3.70683,-0.86433,0.54355,0.86433,-5.92559,-1.84451,0.54355,-2.0049,0.8376,-5.29293,-3.97415,0.46335,1.04255,-7.69881,-2.78013,-5.92559,3.57317,-7.69881,-0.49009,-2.0049,0.69503,0.53464,0.54355,-4.40187,0.54355,-2.0049,-2.63756,-1.96926,-1.84451,0.13366,-5.29293,0.46335,3.75139,-2.22766,-2.38806,-5.94341,5.13254,-2.68211,-5.48897,-3.35932,-2.80686,-4.26821,-2.45934,0.35643,1.09601,4.82067,-1.18512
2022-09-01T11:30:00-00:00,0.36295,16.28842,-1.32786,-2.28392,-2.40785,-4.47046,0.9295,-7.91405,0.48688,-0.85868,-2.00949,-4.6121,-0.89409,-4.48817,-0.52229,-2.27507,0.02656,1.07999,-2.42556,-2.41671,0.77901,1.07999,3.47014,-1.35442,0.03541,0.49573,-6.15242,-2.11572,0.03541,-2.27507,0.50459,-5.5416,-4.18719,0.14164,0.62852,-7.91405,-3.04523,-6.17898,3.03637,-7.91405,-0.98262,-2.27507,0.36295,0.02656,0.03541,-4.60325,0.03541,-2.28392,-2.89473,-2.2308,-2.11572,-0.1859,-5.5416,0.14164,3.22227,-2.40785,-2.67342,-6.17012,4.58554,-2.93014,-5.58586,-3.62063,-3.07178,-4.47046,-2.73539,-0.12393,0.77901,4.27571,-1.4695
2022-09-01T11:45:00-00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01T12:00:00-00:00,0.48252,17.04612,-0.87352,-1.88847,-1.80528,-4.1929,1.16469,-6.78018,0.58235,-0.88184,-1.50578,-4.30105,-0.91512,-4.20122,-0.53243,-1.81359,-0.04992,1.08982,-1.81359,-1.9467,0.79033,1.08982,4.00987,-1.31444,-0.0416,0.78201,-5.46574,-1.72208,-0.0416,-1.81359,0.61562,-4.87507,-3.92668,0.29949,0.87352,-6.78018,-2.67048,-5.45742,2.84518,-6.78018,-0.96503,-1.81359,0.48252,-0.04992,-0.0416,-4.29273,-0.0416,-1.88847,-2.47081,-1.58066,-1.72208,0.0416,-4.87507,0.29949,3.00325,-1.80528,-3.05316,-5.48238,4.39256,-2.48745,-4.40088,-3.17795,-2.68711,-4.1929,-2.32107,-0.02496,0.79033,4.03483,-1.01495
2022-09-01T12:15:00-00:00,0.27414,19.42584,-1.31396,-2.48613,-2.45777,-5.16132,0.87913,-8.08228,0.39702,-1.79606,-2.04184,-5.29366,-1.85278,-5.18022,-1.57864,-2.38215,-2.03239,0.47265,-2.46722,-2.56175,0.6239,0.47265,4.29165,-2.25926,-1.09654,0.60499,-6.56981,-2.29707,-1.09654,-2.38215,0.43484,-5.9081,-4.85882,0.05672,0.72788,-8.08228,-3.40307,-6.58872,2.30652,-8.08228,-1.87169,-2.38215,0.27414,-2.03239,-1.09654,-5.28421,-1.09654,-2.48613,-3.16674,-2.11746,-2.29707,-0.25523,-5.9081,0.05672,2.41996,-2.45777,-3.97024,-6.58872,4.19712,-3.1951,-5.51108,-3.9797,-3.40307,-5.16132,-2.97768,-0.67116,0.6239,3.63939,-1.48412
2022-09-01T12:30:00-00:00,0.93843,21.70232,-0.76062,-1.99539,-1.88673,-4.86006,1.48172,-7.95192,1.07672,-1.61014,-1.52124,-4.98847,-1.65953,-4.87981,-1.4027,-1.97563,-1.89661,0.82977,-1.89661,-2.07441,1.32367,0.82977,5.33421,-2.05466,-0.93843,1.25453,-6.31215,-1.79783,-0.93843,-1.97563,1.12611,-5.62067,-4.57359,0.70135,1.38294,-7.95192,-2.96345,-6.34178,2.64735,-7.95192,-1.63978,-1.97563,0.93843,-1.89661,-0.93843,-4.97859,-0.93843,-1.99539,-2.70662,-1.63978,-1.79783,0.37537,-5.62067,0.70135,2.74613,-1.88673,-3.45736,-6.32202,4.62298,-2.73625,-5.0675,-3.5759,-2.97333,-4.86006,-2.51893,-0.29634,1.32367,4.03029,-0.92855
2022-09-01T12:45:00-00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01T13:00:00-00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
